Name,Department,year1,year2,year3,year4,year5,Years,Graduated
Hewlette Mark,Machine and Deep Engineering,3.6,2.4,2,2.8,,4,2015
Torgan Bond,Bio Technology,3.6,3.2,2.8,,,3,2016
Rica Brenda,Civil Engineering,2.4,4.4,4.4,,,3,2016
Honda Cara,Biochemistry,4,4.4,2,2.8,,4,2015
Diego Slipey,Geology,4.4,2,4.4,3.2,2,5,2014
Silver Esther,Survey and Geo-informatics,3.2,3.6,3.6,2.4,,4,2015
Hezekiah Nicki,Computer Science,2.4,2,2.4,2.8,4,5,2014
Henry Young man,Survey and Geo-informatics,2,2,2.8,,,3,2016
Abraham Young man,Cyber Security,4.4,2,4.4,4.4,3.6,5,2014
Chelsea Philine,Architecture,3.2,4.4,2,,,3,2016
Ford Wayne,Software Programming,4,4.4,2.4,4.4,4,5,2014
Malcomm Priscilia,Information Technology,2.8,3.6,4,2.8,4.4,5,2014
Paulinho Gopy,Survey and Geo-informatics,3.2,2.4,2,3.6,2,5,2014
Barcelona Hustle,Information Technology,3.6,3.2,3.2,3.6,,4,2015
Alexander Hustle,Computer Engineering,2,3.6,3.2,,,3,2016
Sellini Dunlop,Mining Engineering,2.4,2.4,2.8,4,,4,2015
Donald Shorya,Physics,2,3.2,2.4,,,3,2016
Honda Green,Data Analysis,3.6,4.4,4.4,3.2,,4,2015
Luke Cara,Biochemistry,2.8,3.2,4,4.4,4.4,5,2014
Richard John,Information Technology,2.4,3.6,2.8,,,3,2016
McCall Jack,Building Technology,3.6,3.2,3.6,4.4,,4,2015
Smith Paul,Data Analysis,2.4,2,3.2,4,2.4,5,2014
Edding Jack,Mining Engineering,4.4,4,3.6,,,3,2016
Santos Chris,Civil Engineering,4.4,3.6,3.6,2.4,4.4,5,2014
Emerson Montana,Data Analysis,3.6,2,3.6,2.8,3.6,5,2014
Paulinho Philine,Biochemistry,2.8,2.8,3.2,4.4,4,5,2014
McCoaster Burna,Civil Engineering,4,3.6,3.6,,,3,2016
Barcelona Dan,Architecture,2.4,2.4,3.6,2,,4,2015
Becam Sandra,Cyber Security,3.2,4,3.2,3.2,2,5,2014
Hezekiah Emtee,Architecture,3.2,2.8,4.4,4,4,5,2014
McCall Hummit,Biochemistry,2.8,4,2.8,,,3,2016
Gomez Montana,Geology,2,3.6,2.4,3.6,,4,2015
Robert Marla,Computer Science,4,3.6,4,2.8,2,5,2014
McCoaster White,Survey and Geo-informatics,2.8,2.8,2,4,3.6,5,2014
Gomez Priscilia,Micro Biology,2,2.8,3.6,2,,4,2015
Marcos Justin,Mechganical Engineering,4.4,4.4,2.8,,,3,2016
Narcos Dunlop,Bio Technology,4.4,4,4.4,,,3,2016
Paulinho Wayne,Data Analysis,2,4.4,2.8,,,3,2016
Andrew Love,Bio Technology,2,3.6,4,4,3.2,5,2014
Diego Charles,Architecture,4,4,3.2,,,3,2016
Santos White,Architecture,3.6,3.6,2.8,,,3,2016
Luke White,Civil Engineering,3.2,4,4,4,2,5,2014
Torgan Green,Physics,3.2,3.6,4.4,2.4,2.4,5,2014
Gomez Chris,Bio Technology,2.8,4,2,2.4,,4,2015
Silver Mercy,Statistics,3.6,2.4,2,2.4,,4,2015
Honda Wayne,Computer Science,4,2,4,3.6,2,5,2014
Santos Jordan,Bio Technology,4,2.4,2,,,3,2016
Rica Green,Computer Engineering,3.2,2,2,3.6,,4,2015
Hewlette Charles,Data Analysis,3.6,2.4,2,,,3,2016
Becam Dan,Physics,3.6,4.4,2.8,2.8,,4,2015
Edding Burna,Machine and Deep Engineering,3.6,2.8,4.4,,,3,2016
Narcos Charles,Micro Biology,4,3.6,2,,,3,2016
Manchester Brenda,Physics,2.4,4.4,4,3.2,2,5,2014
McCall Hustle,Biochemistry,4,3.2,2,2.4,3.2,5,2014
Robert Cavati,Biochemistry,4.4,4,4,4,3.2,5,2014
Mourinho Lingard,Civil Engineering,4,4,4,4.4,3.2,5,2014
Sebastian Dan,Geology,3.6,4,3.2,4,3.6,5,2014
Diego White,Civil Engineering,2,2.4,4.4,3.2,,4,2015
Edding Bill,Computer Engineering,2.8,4,2,2.8,4,5,2014
Subdila Marla,Survey and Geo-informatics,4,2,4.4,4,4.4,5,2014
Ford Cara,Architecture,4.4,2.8,4.4,2.4,2.4,5,2014
Smith Limpo,Architecture,4,2.8,2.8,3.6,,4,2015
Alexander Slipey,Building Technology,2.4,3.2,2.4,2.4,,4,2015
Henry Sandra,Geology,4.4,3.6,3.6,,,3,2016
Barcelona Nicki,Micro Biology,2.8,4.4,2,3.6,4.4,5,2014
Marcos Dunlop,Information Technology,2.8,2.4,4.4,3.2,,4,2015
Diego Dunlop,Cyber Security,4.4,3.2,2.4,,,3,2016
Santos Paul,Architecture,3.2,2,3.2,2.8,2.8,5,2014
Henry Berger,Civil Engineering,2,4,2.8,4,4,5,2014
Phelionni Montana,Micro Biology,4,4.4,3.6,2.4,4,5,2014
Mourinho Limpo,Physics,4,3.2,3.6,2.4,,4,2015
Phelionni Kiki,Software Programming,3.2,2.8,4.4,4.4,,4,2015
Luke Berger,Computer Science,2,2,3.6,4.4,,4,2015
Henry Emrican,Information Technology,2.4,2.8,3.6,3.2,,4,2015
Ford Nicki,Micro Biology,2.8,2.4,2,,,3,2016
David Dan,Bio Technology,4,3.6,4,4.4,,4,2015
Silver Shorya,Mechganical Engineering,2.8,3.6,4,3.6,2.8,5,2014
Lorrience Brenda,Machine and Deep Engineering,2.8,2.8,2.8,,,3,2016
Douglas White,Data Analysis,4.4,3.6,4.4,2,,4,2015
Gomez Lingard,Machine and Deep Engineering,4.4,4,4.4,2.4,2.8,5,2014
Rica Julius,Machine and Deep Engineering,2.4,4,2.8,2.8,2.4,5,2014
Manchester John,Data Analysis,2,4,2.8,,,3,2016
Subdila Emtee,Building Technology,2.8,2.4,4.4,3.6,4,5,2014
Chelsea Montana,Information Technology,2.8,3.2,2,3.6,,4,2015
Thompson Hummit,Bio Technology,2.4,3.6,2.4,4,2,5,2014
Lorrience Sandra,Mechganical Engineering,3.2,3.2,3.6,2.8,,4,2015
Phelionni Emrican,Bio Technology,3.2,2.4,2,2.4,,4,2015
Mizphabet Emrican,Architecture,2,4.4,3.2,4,3.2,5,2014
McCoaster Kiki,Software Programming,2.8,2,3.2,4,,4,2015
Alexander Bill,Machine and Deep Engineering,2.8,4.4,2,4.4,,4,2015
Donald Bond,Geology,2.4,2.8,2,,,3,2016
Sebastian Limpo,Building Technology,2.8,2,2,2.8,4,5,2014
Phelionni Dan,Data Analysis,3.6,3.2,4,4.4,2.4,5,2014
Santos Berger,Survey and Geo-informatics,3.6,3.2,2.4,3.2,3.6,5,2014
Einstein Whice,Civil Engineering,4,4.4,2.4,4.4,,4,2015
Subdila Justin,Data Analysis,2.4,2.4,4.4,4,2.4,5,2014
McCall Mercy,Physics,3.6,4,3.2,2.4,4,5,2014
Lorrience Dembele,Biochemistry,2.4,2.8,3.6,4,,4,2015
Richard Brenda,Survey and Geo-informatics,2.4,2.8,4,2.4,3.2,5,2014
Henry Mark,Software Programming,2.4,4.4,4,3.6,,4,2015
Lorrience Edward,Data Analysis,3.6,4.4,3.2,4.4,,4,2015
Torgan Marla,Mechganical Engineering,2.8,4,2,,,3,2016
Emerson Charles,Civil Engineering,2.8,3.2,4,4.4,,4,2015
PyRodri Slipey,Survey and Geo-informatics,2,2,4,,,3,2016
Mourinho Julius,Civil Engineering,3.6,2.4,3.6,4,4,5,2014
Febo Wayne,Survey and Geo-informatics,4.4,3.2,3.2,2.8,,4,2015
PyRodri Whice,Biochemistry,3.6,4.4,2,,,3,2016
Chelsea Emrican,Building Technology,2,2.4,3.6,,,3,2016
Douglas Sandra,Statistics,2.8,2.8,2.8,2.4,2.4,5,2014
Torgan Burna,Micro Biology,2.8,2.4,2,,,3,2016
Gomez Bond,Statistics,2.8,3.2,2.4,4.4,,4,2015
Honda Casandra,Architecture,3.2,3.2,2.8,3.2,2.4,5,2014
McCoaster Chris,Computer Engineering,2.4,3.6,4.4,2,4.4,5,2014
Luke Jordan,Physics,4.4,2.4,3.2,2.8,,4,2015
Manchester Paul,Survey and Geo-informatics,4,2.4,4,4.4,3.2,5,2014
Subdila Lingard,Physics,4,4.4,2.8,4.4,,4,2015
Edding Brenda,Software Programming,2.4,2,4,3.2,2.4,5,2014
Charlotte Berger,Data Analysis,2.4,2.4,2,,,3,2016
Silver Babbage,Computer Engineering,2.8,3.2,3.6,2.4,3.6,5,2014
Hezekiah Bond,Computer Science,3.6,3.2,2.4,3.2,,4,2015
Santos Green,Cyber Security,2.4,3.2,4,3.2,4.4,5,2014
Willson Anabelle,Computer Science,2,2,2.8,2,2.8,5,2014
Robert Bond,Information Technology,3.2,2,4,,,3,2016
Hezekiah Marla,Geology,4,2.8,4.4,2,2.8,5,2014
Anderson Philine,Biochemistry,4,3.6,2.8,,,3,2016
Diego Bond,Physics,4.4,3.6,4.4,3.6,,4,2015
Mourinho Mark,Survey and Geo-informatics,2,3.2,3.6,4.4,3.2,5,2014
Febo Hummit,Machine and Deep Engineering,2.8,4,3.2,2,,4,2015
Narcos Slipey,Civil Engineering,2,4,2.8,,,3,2016
McCoaster Whice,Mining Engineering,2.4,4.4,2.8,2,,4,2015
Becam Coutiho,Information Technology,4.4,2.4,3.6,,,3,2016
Hewlette Wayne,Machine and Deep Engineering,3.6,2.4,2,,,3,2016
Phelionni Chris,Survey and Geo-informatics,2.4,2.4,4.4,3.2,,4,2015
Ford Babbage,Software Programming,2.4,2,2.4,4,,4,2015
Andrew Jordan,Bio Technology,4.4,3.6,4,2.4,2.4,5,2014
Thompson Kiki,Geology,2,2.4,2.8,4.4,,4,2015
Torgan Esther,Computer Engineering,4.4,2,3.6,,,3,2016
Charlotte Emtee,Biochemistry,4,3.2,4,2,3.6,5,2014
Luke Young man,Machine and Deep Engineering,3.2,2.4,2.8,3.2,,4,2015
Mizphabet Slipey,Bio Technology,4.4,3.6,2.4,,,3,2016
Becam Shorya,Biochemistry,4,4.4,2,,,3,2016
Santos Love,Data Analysis,3.6,4.4,4,4,,4,2015
McCall Mark,Civil Engineering,4,2.8,4,3.6,2.8,5,2014
Robert Mark,Architecture,2,4,2.4,3.6,,4,2015
Abraham Casandra,Cyber Security,4.4,4.4,2.8,4.4,3.6,5,2014
Sellini Bond,Bio Technology,3.6,2.8,2,3.2,,4,2015
Manchester James,Biochemistry,3.6,2.8,3.2,3.2,2.8,5,2014
Santos James,Data Analysis,3.6,4,4.4,,,3,2016
Thompson Babbage,Mining Engineering,4.4,3.6,2.8,,,3,2016
Willson Casandra,Machine and Deep Engineering,3.2,2.4,4.4,,,3,2016
Hezekiah Cara,Biochemistry,3.6,2,4.4,2,,4,2015
Rica Kiki,Mining Engineering,3.2,2.4,4,,,3,2016
Abraham Emrican,Civil Engineering,2,2.4,2.8,2,4.4,5,2014
McCoaster Coutiho,Geology,2.8,2.8,2.8,2.8,,4,2015
Douglas Dembele,Information Technology,3.2,2.4,4,,,3,2016
Sebastian Burna,Information Technology,4.4,3.2,4.4,,,3,2016
Diego Fredie,Physics,2,4,2.4,2,,4,2015
Becam Dembele,Information Technology,2.4,3.2,2.4,3.6,,4,2015
McCoaster James,Cyber Security,2.4,2.4,3.6,,,3,2016
Douglas Charles,Statistics,2.4,4,3.6,3.2,2.4,5,2014
Hezekiah Dunlop,Data Analysis,3.6,2,2,3.2,,4,2015
Lorrience Julius,Computer Science,2,2.8,4,4,4,5,2014
Torgan Shorya,Architecture,4.4,4.4,4,,,3,2016
Thompson Whice,Cyber Security,2.8,2,4,2,4.4,5,2014
David Mark,Building Technology,2.8,4.4,2.4,4,4,5,2014
Sellini Montana,Statistics,3.2,4.4,2,4,4,5,2014
Gomez Gopy,Computer Engineering,4.4,4.4,2.8,3.2,3.2,5,2014
PyRodri Hustle,Bio Technology,3.2,3.2,4,2.8,,4,2015
Mourinho Emrican,Mechganical Engineering,4.4,4.4,4.4,,,3,2016
Sellini Casandra,Mechganical Engineering,2.4,3.6,2.4,,,3,2016
Rica Hummit,Software Programming,2,2.4,3.2,4,,4,2015
Mizphabet Cara,Bio Technology,2,4.4,3.2,,,3,2016
Hewlette Philine,Survey and Geo-informatics,2.8,2.4,4.4,4,2,5,2014
Richard Paul,Information Technology,2.4,3.6,3.2,2.4,,4,2015
Barcelona Bond,Physics,4,3.2,3.6,4.4,,4,2015
Anderson Shorya,Architecture,2.4,2,2.8,2.4,4,5,2014
Silver Lingard,Bio Technology,4.4,3.6,2.8,2,,4,2015
Lorrience Charles,Statistics,2.4,2.4,2,,,3,2016
Donald Limpo,Computer Engineering,4,4,4,,,3,2016
Lucas Jack,Building Technology,4.4,2.8,2,,,3,2016
Honda Berger,Bio Technology,2.8,4,2,4.4,,4,2015
Hewlette Slipey,Data Analysis,4,2.8,2.8,2,,4,2015
McCall Kiki,Data Analysis,4,2,2.8,,,3,2016
Thompson Dunlop,Biochemistry,2,2,3.2,,,3,2016
Richard Bond,Physics,3.6,2.4,4.4,3.2,2.8,5,2014
Phelionni Bill,Survey and Geo-informatics,2.4,4.4,3.6,2.4,3.2,5,2014
Phelionni Julius,Software Programming,2.4,3.2,4,4.4,3.6,5,2014
Anderson Hustle,Civil Engineering,2,2.8,3.2,3.6,,4,2015
Silver Slipey,Civil Engineering,3.2,2.8,2,,,3,2016
Andrew Dembele,Cyber Security,4,2.4,2,4,2.8,5,2014
Mourinho Gopy,Bio Technology,3.2,2,2.4,2.8,,4,2015
Honda Charles,Survey and Geo-informatics,2.8,2.4,2.8,4,,4,2015
David Montana,Biochemistry,2.8,2.4,4.4,2,,4,2015
Barcelona Charles,Machine and Deep Engineering,2.4,2.4,3.6,4.4,3.6,5,2014
Lorrience Shorya,Bio Technology,3.6,2,2.4,2.8,,4,2015
Diego Chris,Cyber Security,3.2,3.6,2.4,2.8,,4,2015
McCall Charles,Software Programming,3.2,4,3.6,3.2,2.4,5,2014
Kendrick Mark,Statistics,4.4,4.4,3.2,,,3,2016
Andrew Gopy,Machine and Deep Engineering,2.4,2.4,2.4,,,3,2016
Emerson Hummit,Mechganical Engineering,2.4,3.6,4,,,3,2016
Phelionni Mark,Civil Engineering,3.2,2.4,2.4,3.2,,4,2015
Febo Mark,Cyber Security,4.4,2.8,4.4,2,2.8,5,2014
Einstein Chris,Mechganical Engineering,4,2,3.2,4.4,2.8,5,2014
Alexander John,Data Analysis,4,3.2,3.6,,,3,2016
Rica Fredie,Biochemistry,4.4,4,2.8,2,3.2,5,2014
Willson Justin,Physics,2.8,4.4,3.6,,,3,2016
Kendrick Slipey,Building Technology,4.4,2.4,3.2,2.8,,4,2015
Rica Philine,Architecture,2.8,4.4,2,2.4,3.6,5,2014
Becam Green,Geology,4.4,2.8,4.4,,,3,2016
Hezekiah Shorya,Biochemistry,2.4,3.6,3.6,,,3,2016
Mourinho Priscilia,Micro Biology,3.6,2,2.8,,,3,2016
Andrew Chris,Bio Technology,4,4,2.8,2.4,2.4,5,2014
David Brenda,Mining Engineering,2.4,2.8,2.8,3.6,3.6,5,2014
Richard Limpo,Survey and Geo-informatics,2.4,3.2,4,3.6,4.4,5,2014
Silver Emrican,Building Technology,4,3.6,2.4,2,2.8,5,2014
Ford Dembele,Computer Science,4,2,4.4,,,3,2016
Edding Cavati,Geology,2,2.4,4.4,2,,4,2015
Thompson Emrican,Architecture,4.4,2,2.4,3.6,,4,2015
Donald Berger,Micro Biology,3.6,4,3.2,2.4,,4,2015
Hezekiah Bill,Biochemistry,2,2.4,2.4,,,3,2016
Honda Justin,Machine and Deep Engineering,4.4,3.6,2.8,4.4,4,5,2014
Febo Marla,Computer Science,4,2.8,2,4,2.4,5,2014
Marcos Chris,Geology,4,4.4,2.4,4.4,,4,2015
Paulinho Dembele,Machine and Deep Engineering,4,4,4,,,3,2016
Einstein Justin,Cyber Security,3.2,3.6,2,4.4,3.2,5,2014
Edding Limpo,Information Technology,4,2,4,3.2,4.4,5,2014
Emerson Whice,Computer Engineering,4,4,2.8,2,,4,2015
Luke Priscilia,Physics,2.4,4,2.4,,,3,2016
Diego Mercy,Computer Engineering,2,2.4,2.8,3.6,,4,2015
David Jack,Software Programming,2,2.8,3.6,4,,4,2015
Sellini Love,Geology,3.6,4,3.6,4,,4,2015
Sebastian Bond,Statistics,3.2,3.2,2,,,3,2016
Abraham Paul,Software Programming,4.4,2.4,4.4,4.4,2.8,5,2014
Phelionni Gopy,Computer Engineering,4.4,2.8,2.8,,,3,2016
Silver Green,Biochemistry,2.8,3.2,4.4,2.8,4.4,5,2014
Subdila Green,Data Analysis,2,3.2,3.6,3.2,,4,2015
Emerson Brenda,Bio Technology,3.6,2.8,4,3.6,,4,2015
Abraham Fredie,Mechganical Engineering,2,2,4.4,4,4.4,5,2014
Greenwich Green,Micro Biology,4,3.2,4,,,3,2016
Anderson Bill,Machine and Deep Engineering,2,4.4,2,,,3,2016
Henry Cara,Machine and Deep Engineering,4,2.4,4.4,,,3,2016
Greenwich Limpo,Building Technology,4,2.4,2.4,,,3,2016
Greenwich James,Survey and Geo-informatics,4,2.4,2,3.2,,4,2015
Luke Nicki,Biochemistry,2.8,2,4.4,2.8,,4,2015
Lorrience Coutiho,Architecture,2,3.6,3.2,3.6,3.6,5,2014
Narcos Gopy,Geology,4.4,4.4,2,3.2,2.8,5,2014
Smith Babbage,Micro Biology,2.8,4,3.6,3.2,,4,2015
Mourinho Mercy,Mechganical Engineering,2.8,4.4,3.6,3.2,,4,2015
Greenwich Casandra,Cyber Security,3.6,4,2,3.6,,4,2015
Barcelona Love,Bio Technology,4.4,3.2,3.2,2.8,2,5,2014
Paulinho Sandra,Computer Engineering,2.4,2,3.2,,,3,2016
Emerson Chris,Bio Technology,3.6,4,4,,,3,2016
Torgan Bill,Physics,3.2,4.4,2.8,3.2,,4,2015
Chelsea White,Micro Biology,2,4.4,4,4,,4,2015
Subdila Priscilia,Cyber Security,4.4,2.8,3.2,3.6,4,5,2014
Sebastian Marla,Biochemistry,3.6,4.4,4,4,4,5,2014
Charlotte Fredie,Mechganical Engineering,2.8,3.2,3.6,3.6,,4,2015
Manchester Emtee,Survey and Geo-informatics,4,4,2.4,2.8,2,5,2014
Lucas White,Cyber Security,3.6,3.2,2.4,2,2,5,2014
Anderson Gopy,Statistics,4.4,2,4.4,4.4,2.8,5,2014
Marcos Shorya,Civil Engineering,2.8,4.4,3.2,2.4,,4,2015
Smith Philine,Building Technology,3.2,2.4,2,,,3,2016
Greenwich Emtee,Architecture,4.4,4,2.4,2.4,4.4,5,2014
Emerson Shorya,Information Technology,3.2,2.4,4,,,3,2016
Hewlette Brenda,Geology,4.4,3.6,4.4,2,,4,2015
Abraham Shorya,Cyber Security,3.6,2.8,2,,,3,2016
Honda Anabelle,Computer Science,3.2,2.8,2.4,,,3,2016
Ford Mercy,Civil Engineering,2.8,2.8,4,,,3,2016
Sebastian Mercy,Computer Engineering,2,2.4,3.2,,,3,2016
Thompson Lingard,Data Analysis,2,4,2.4,,,3,2016
McCall Fredie,Machine and Deep Engineering,2.8,4,2,,,3,2016
Emerson Love,Geology,2.4,2,3.6,2.8,2,5,2014
Robert James,Physics,3.6,2,2.4,4,,4,2015
Henry Love,Biochemistry,3.2,2,2.8,,,3,2016
Hewlette Love,Computer Science,2.8,2.8,4,2.8,2.4,5,2014
Edding Marla,Cyber Security,3.2,2,4.4,,,3,2016
Richard Fredie,Statistics,2.4,4.4,2.4,3.2,,4,2015
Manchester Cavati,Micro Biology,2.8,2.4,3.2,,,3,2016
Mizphabet Emtee,Bio Technology,2.8,4,4.4,3.6,,4,2015
Greenwich Sandra,Physics,2,3.6,4,,,3,2016
Mourinho Hummit,Computer Science,3.6,4.4,4.4,2.4,2.4,5,2014
Malcomm Lingard,Civil Engineering,2,2,2,,,3,2016
Phelionni Priscilia,Cyber Security,4.4,2.4,2.4,2.4,,4,2015
McCoaster Nicki,Computer Science,4,3.2,2,3.6,2,5,2014
Mizphabet Montana,Biochemistry,4.4,4,3.6,3.6,4.4,5,2014
Gomez Cavati,Information Technology,3.6,3.6,2,2.8,,4,2015
Willson Hustle,Data Analysis,2,4,2.4,,,3,2016
McCoaster Mark,Survey and Geo-informatics,2.8,2,4,2,,4,2015
Paulinho Shorya,Machine and Deep Engineering,3.6,3.6,3.2,2,,4,2015
Lucas James,Computer Engineering,3.6,2.4,2,4,2,5,2014
Luke Fredie,Bio Technology,3.6,2,2.8,,,3,2016
Phelionni Brenda,Cyber Security,2.8,4.4,4,4.4,,4,2015
Manchester Julius,Building Technology,3.2,2.4,2.8,,,3,2016
Charlotte Marla,Machine and Deep Engineering,4,3.6,2.4,2,2,5,2014
Paulinho Coutiho,Data Analysis,3.6,3.2,3.2,2.8,4,5,2014
Charlotte Lingard,Civil Engineering,4.4,3.6,2.4,,,3,2016
Willson Dunlop,Geology,4,2.8,3.6,3.2,,4,2015
McCall Sandra,Geology,3.6,4.4,4,4,,4,2015
Anderson Jack,Survey and Geo-informatics,2.4,2.8,2,2.4,,4,2015
Robert Babbage,Physics,3.6,2.8,2.8,4,,4,2015
Becam Brenda,Survey and Geo-informatics,3.6,2.4,3.6,3.6,,4,2015
Andrew Charles,Survey and Geo-informatics,2.4,2,2.4,2.8,,4,2015
Emerson James,Mining Engineering,3.2,2,4,2.4,3.2,5,2014
Becam Chris,Building Technology,3.6,3.6,4,2.4,,4,2015
Willson Coutiho,Mechganical Engineering,4.4,2.4,2.8,2.4,2,5,2014
Narcos Dan,Bio Technology,4,3.2,4,,,3,2016
Robert Mercy,Physics,3.6,2.4,3.2,3.2,3.6,5,2014
Chelsea Julius,Bio Technology,4.4,2.8,2,,,3,2016
Mizphabet Dembele,Mining Engineering,2.8,2.8,3.6,2.8,2.4,5,2014
Richard Bill,Biochemistry,2.8,2,2.4,2.8,,4,2015
Marcos Emtee,Mechganical Engineering,4,4.4,2.4,4,,4,2015
Hezekiah Brenda,Physics,4.4,2,4.4,,,3,2016
Thompson Slipey,Geology,2.8,3.6,4.4,4.4,,4,2015
McCoaster Limpo,Cyber Security,2.4,2.8,2.4,4.4,2.8,5,2014
Honda Bill,Statistics,2,2,2.4,4,2,5,2014
McCoaster Bond,Biochemistry,4.4,3.6,3.6,2.8,,4,2015
Mizphabet Jack,Software Programming,2.8,3.2,4,2.8,3.2,5,2014
Edding Casandra,Biochemistry,2.4,2,3.2,4,,4,2015
Luke Dembele,Data Analysis,2.4,3.2,4,,,3,2016
McCoaster Bill,Cyber Security,3.2,3.2,3.2,3.2,,4,2015
Henry Cavati,Micro Biology,3.6,4,4.4,2,,4,2015
David Young man,Mechganical Engineering,3.2,3.6,2.4,4,2,5,2014
Honda Love,Physics,2,4,2.8,3.2,4,5,2014
Gomez Whice,Data Analysis,4,4,2.8,,,3,2016
Hezekiah Kiki,Mechganical Engineering,4.4,3.6,4.4,3.6,3.6,5,2014
Alexander Whice,Computer Science,4.4,2,4.4,2,,4,2015
Einstein James,Software Programming,2,2,3.6,4,,4,2015
Rica Dunlop,Statistics,4,4.4,2,4,,4,2015
Emerson Mercy,Mining Engineering,3.6,2,2.4,,,3,2016
Henry Lingard,Machine and Deep Engineering,3.2,2,4,,,3,2016
Lorrience White,Biochemistry,3.6,2.8,2,2,,4,2015
Alexander Dunlop,Biochemistry,3.6,3.6,2,,,3,2016
Febo Bond,Data Analysis,2,2.8,2,,,3,2016
Barcelona Lingard,Information Technology,3.6,3.6,4,3.6,3.2,5,2014
Santos Casandra,Cyber Security,2,4.4,3.6,,,3,2016
Honda Julius,Computer Engineering,2.4,2.8,4,4.4,,4,2015
Febo Priscilia,Architecture,3.6,2,3.6,2.8,,4,2015
Rica Dembele,Architecture,4.4,2.8,3.2,2.8,3.6,5,2014
Marcos Kiki,Information Technology,3.6,4,2.4,,,3,2016
Robert Nicki,Mechganical Engineering,3.2,3.2,4,,,3,2016
Honda Young man,Machine and Deep Engineering,2,3.2,3.2,4,,4,2015
Lorrience Nicki,Bio Technology,2.8,3.6,4,,,3,2016
Mizphabet Paul,Data Analysis,4.4,2.4,4.4,4.4,4.4,5,2014
Smith Charles,Computer Science,2,3.6,4.4,2.8,,4,2015
McCoaster Jack,Computer Engineering,3.2,3.2,2.4,,,3,2016
Febo Mercy,Biochemistry,3.2,3.6,2.8,3.6,3.6,5,2014
Silver Dan,Cyber Security,4.4,4.4,2.4,4.4,4,5,2014
Malcomm Cavati,Computer Science,3.2,4.4,4.4,2.8,,4,2015
Einstein Philine,Survey and Geo-informatics,4,3.2,2,3.2,,4,2015
Honda Marla,Micro Biology,2.8,3.2,2.8,2.8,3.6,5,2014
Richard Cavati,Physics,2,4,3.2,3.6,,4,2015
Mourinho Edward,Micro Biology,2.8,2.4,2,,,3,2016
Paulinho Cara,Computer Science,2.4,2.8,2,,,3,2016
Barcelona Casandra,Architecture,3.2,2.8,2.4,3.2,,4,2015
Thompson Edward,Mechganical Engineering,3.2,2,2.4,,,3,2016
Andrew Mark,Civil Engineering,4.4,3.2,2.8,2,,4,2015
Torgan Dan,Biochemistry,2.8,2.4,4,,,3,2016
Luke Wayne,Geology,3.6,2.8,4,4.4,3.2,5,2014
Luke Emrican,Cyber Security,2.4,4.4,3.6,3.6,4,5,2014
Greenwich Bond,Mechganical Engineering,3.6,2,2.4,,,3,2016
Narcos Cavati,Computer Science,3.2,2,4,3.6,3.2,5,2014
Marcos Mark,Software Programming,3.2,4,4.4,,,3,2016
McCall Edward,Mining Engineering,2.4,3.2,2.8,,,3,2016
Barcelona Mark,Statistics,2.4,4,3.6,3.6,2.4,5,2014
Einstein Kiki,Biochemistry,4.4,2,2.8,,,3,2016
Febo Young man,Mining Engineering,3.2,3.6,2.8,4,4,5,2014
David White,Biochemistry,3.2,4.4,4.4,,,3,2016
Paulinho Limpo,Mechganical Engineering,2,3.6,2,3.2,,4,2015
Andrew Montana,Mechganical Engineering,3.2,2.4,2.4,3.6,,4,2015
Andrew Coutiho,Cyber Security,4,2.4,3.6,3.6,2.8,5,2014
Charlotte Bill,Data Analysis,2.8,4.4,2,3.2,4,5,2014
Gomez Hustle,Building Technology,2,3.2,4.4,,,3,2016
Becam Jack,Data Analysis,4.4,3.6,2,,,3,2016
Richard Berger,Biochemistry,4.4,2.4,2.8,4.4,3.2,5,2014
Santos Kiki,Machine and Deep Engineering,2.8,2.8,4,3.6,2.8,5,2014
Donald Bill,Survey and Geo-informatics,2.8,2.4,2.4,4.4,,4,2015
Lucas Gopy,Building Technology,2,2.4,3.2,3.2,,4,2015
Greenwich Burna,Bio Technology,2.8,4,2.8,4.4,,4,2015
Lorrience Kiki,Mining Engineering,3.2,3.2,3.6,2.4,,4,2015
Einstein Paul,Software Programming,2.8,4,2.4,2.8,4.4,5,2014
Hezekiah Hummit,Biochemistry,3.6,4,3.2,,,3,2016
Subdila Mercy,Building Technology,3.2,4.4,3.2,,,3,2016
Donald Gopy,Geology,2,3.2,3.6,3.2,4.4,5,2014
Edding Paul,Architecture,2,4,2.4,3.2,,4,2015
Narcos Limpo,Building Technology,4.4,2,4.4,2,,4,2015
Hezekiah White,Micro Biology,4,2.4,2,3.2,2.4,5,2014
Narcos Jack,Biochemistry,2.8,3.2,2.4,4,2.8,5,2014
Einstein Coutiho,Civil Engineering,2.4,4,2,4.4,4.4,5,2014
Lucas John,Building Technology,2,2.4,2,2.4,,4,2015
Gomez Burna,Architecture,3.2,3.2,2,4,,4,2015
Thompson Mark,Micro Biology,4,2.4,2.8,4,,4,2015
Abraham Edward,Building Technology,3.2,2,2.4,2,2.8,5,2014
Ford Emrican,Data Analysis,3.6,3.2,3.2,4.4,3.6,5,2014
Malcomm Slipey,Biochemistry,2.4,3.6,2,,,3,2016
Paulinho Whice,Building Technology,4.4,2,2.8,2.4,3.6,5,2014
Becam Bond,Information Technology,4,3.2,4.4,,,3,2016
